"variable","year","n_obs","k_used","deviance_explained","r_squared","edf"
"temp",2009,110,60,0.0427208802410925,0.024825568210147,3.00024626137182
"temp",2010,146,60,0.470882226488333,0.370178981268147,24.1843176436505
"temp",2011,176,60,0.57774533903181,0.489418612385076,31.2736792568632
"temp",2012,171,60,0.289914069931932,0.219893954168196,16.2587199438288
"temp",2013,173,60,0.382837117683892,0.328353404055412,14.9525738694753
"temp",2014,168,60,0.241285864132822,0.190171538913284,11.5406178244318
"temp",2015,155,60,0.442829314937722,0.360966726726142,20.7279846165079
"temp",2016,171,60,0.444831839203209,0.368685232614083,21.5047050835709
"temp",2017,176,60,0.362280768476062,0.304012297990634,15.6510955660719
"temp",2018,171,60,0.618099343259533,0.546547425335678,27.8249134014949
"temp",2019,186,60,0.466502825377059,0.391620851947716,23.7706112689416
"temp",2020,180,60,0.210953332227322,0.153549686890164,13.1392270239706
"temp",2021,170,60,0.497930491095738,0.45116626580432,15.3999058035887
"temp",2022,188,60,0.318592758013044,0.296148545474477,6.96300216150209
"temp",2023,191,60,0.389808299467495,0.324857483628919,19.2785926083591
"pH",2009,110,60,0.606355443334744,0.502807715819688,23.7008798371611
"pH",2010,146,60,0.426264770444361,0.353553839308868,17.3093009994437
"pH",2011,176,60,0.550528077551657,0.464675928742102,29.065478181036
"pH",2012,171,60,0.722409504216322,0.654277518310262,34.5021244421838
"pH",2013,173,60,0.62062096450035,0.548810067022751,28.3753323453911
"pH",2014,168,60,0.531069025850925,0.452249116361077,25.0308601555473
"pH",2015,155,60,0.654250599463848,0.56672207259978,32.1102696090388
"pH",2016,171,60,0.557400383166216,0.501662111413156,20.0142198998555
"pH",2017,176,60,0.416706123837431,0.3411880571445,21.0598392524309
"pH",2018,171,60,0.445263358416173,0.367953697946596,21.7937966524448
"pH",2019,186,60,0.482636604723535,0.394110315980958,28.0302727531868
"pH",2020,180,60,0.530735838413601,0.462796833517961,23.6377702796472
"pH",2021,170,60,0.484750942734593,0.397482388762717,25.47793283745
"pH",2022,188,60,0.381919407873929,0.312413741893158,19.9031694353386
"pH",2023,187,60,0.448177166433859,0.372095851492212,23.5370776937476
"EC",2009,110,60,0.539858507694113,0.467329397490311,15.8415793455968
"EC",2010,146,60,0.716860036789909,0.662617585952051,24.3122861299215
"EC",2011,176,60,0.605393845204748,0.553575034449637,21.3131378886143
"EC",2012,171,60,0.558969988869673,0.501091470229802,20.7217477386288
"EC",2013,173,60,0.631364835396038,0.576195868481309,23.3902071820999
"EC",2014,168,60,0.674625888987539,0.617708160746035,25.8638857551356
"EC",2015,155,60,0.676145493154805,0.61383615929545,25.8486170969129
"EC",2016,171,60,0.761865220075858,0.716029767669279,28.4395905696326
"EC",2017,176,60,0.789605104672517,0.742989446850055,32.740876080569
"EC",2018,171,60,0.693782587320929,0.647908859938041,23.1491902741962
"EC",2019,186,60,0.667074581893673,0.605687743212153,29.8009438220213
"EC",2020,180,60,0.813209609876049,0.763275247254968,38.7579902630653
"EC",2021,170,60,0.741030126825197,0.704885691780637,21.6984526076935
"EC",2022,188,60,0.788907550218903,0.740575984184142,35.8387284811581
"EC",2023,191,60,0.799890431498233,0.752209087693868,37.5608861056084
"alkalinity",2009,110,60,0.751662761897685,0.66042577927171,30.2861780994518
"alkalinity",2010,146,60,0.713169373327345,0.652614492067579,26.2758321293423
"alkalinity",2011,176,60,0.798224714005618,0.74697925128554,36.4435595561938
"alkalinity",2012,168,60,0.699194750572088,0.645605751292521,26.2525624000027
"alkalinity",2013,173,60,0.703632672670632,0.653754325355556,25.7774235649381
"alkalinity",2014,168,60,0.749535959530022,0.702983804245664,27.1743637000792
"alkalinity",2015,155,60,0.601676453534539,0.556720148406025,16.61828484849
"alkalinity",2016,171,60,0.692693406378528,0.638804214039483,26.3634263015433
"alkalinity",2017,176,60,0.659279046990836,0.609307127074192,23.3835308791861
"alkalinity",2018,171,60,0.628558348462836,0.572395987102727,23.3281380512027
"alkalinity",2019,186,60,0.722832999849414,0.679969055867764,25.7783215404592
"alkalinity",2020,180,60,0.818837766990198,0.78222504830428,31.0938036893066
"alkalinity",2021,170,60,0.776457589958135,0.73798741631985,25.8135385467086
"alkalinity",2022,188,60,0.656773742747572,0.606864259319818,24.7400786426652
"alkalinity",2023,181,60,0.743219868655333,0.702149255680546,25.8201841910882
"current",2009,104,60,0.0657767932625392,0.0472647186768188,3.00133627851073
"current",2010,135,60,0.142433517738241,0.0977944153748963,7.63001849980097
"current",2011,173,60,0.0904846253005168,0.0756585298893195,3.75881640409424
"current",2012,159,60,0.332748793751968,0.252127894006009,18.0324605741663
"current",2013,162,60,0.0988119578486626,0.0704693263020086,5.90910500119102
"current",2014,161,60,0.104063758389846,0.0751608323184282,6.00029446527413
"current",2015,151,60,0.0617327668113208,0.0465085291235479,3.39502473060071
"current",2016,165,60,0.180756683164281,0.1276372225585,10.986202718206
"current",2017,168,60,0.0414595854170407,0.0298209148778464,3.00340123782483
"current",2018,167,60,0.0712468068454777,0.0526615227073938,4.25665772147137
"current",2019,183,60,0.224471547260775,0.16132891002231,14.7025827105907
"current",2020,179,60,0.146364380138711,0.110213314442044,8.23194648610818
"current",2021,170,60,0.0961361200665713,0.0656924259520343,6.5067350926694
"current",2022,186,60,0.0715189513044946,0.0480972384522059,5.55195325899453
"current",2023,169,60,0.0518681798201745,0.0356654345088863,3.82273529302574
"flow_velocity",2009,104,60,0.043984416709067,0.0250522504607847,3.0001206469728
"flow_velocity",2010,135,60,0.296110250653766,0.220904571742722,13.9349507243573
"flow_velocity",2011,173,60,0.453377600870923,0.379227696425768,21.5450267209633
"flow_velocity",2012,128,60,0.596591119164074,0.48536321406769,28.4483758902901
"flow_velocity",2013,132,60,0.0436724552040185,0.0288397015710599,3.00079299891167
"flow_velocity",2014,125,60,0.351830672696317,0.283860175714388,12.7691285136487
"flow_velocity",2015,102,60,0.95264913249625,0.894976803024486,56.4630352569273
"flow_velocity",2016,137,60,0.138703554207519,0.0913234116639894,8.09130120510745
"flow_velocity",2017,139,60,0.168215396885478,0.12746551487607,7.44499880884305
"flow_velocity",2018,135,60,0.371055311290744,0.276397465556376,18.5291692947954
"flow_velocity",2019,143,60,0.40332129026467,0.348146868293619,13.0192226420388
"flow_velocity",2020,143,60,0.250485905291204,0.200104626857559,9.94384663018109
"flow_velocity",2021,124,60,0.358686985957954,0.273918280748117,15.360023760897
"flow_velocity",2022,154,60,0.212030616835439,0.173304451067314,8.16721333527533
"flow_velocity",2023,124,60,0.0586846699863788,0.0263383645358248,5.08621992025126
